2020-11-17 00:34:46 UTC | PROCESS | INFO | (pkg/util/log/log.go:482 in func1) | Collector docker successfully detected
2020-11-17 00:34:46 UTC | PROCESS | INFO | (pkg/util/log/log.go:482 in func1) | Successfully queried https://10.0.28.12:10250/ without any security settings, adding security transport settings to query https://10.0.28.12:10250/pods
2020-11-17 00:34:46 UTC | PROCESS | INFO | (pkg/util/log/log.go:482 in func1) | Successfully connected securely to kubelet endpoint https://10.0.28.12:10250/pods
2020-11-17 00:34:46 UTC | PROCESS | INFO | (pkg/util/log/log.go:482 in func1) | Successfully authorized to query the kubelet on https://10.0.28.12:10250/pods: 200, using https://10.0.28.12:10250 as kubelet endpoint
2020-11-17 00:34:46 UTC | PROCESS | INFO | (pkg/util/log/log.go:482 in func1) | Connection to the kubelet succeeded! 10.0.28.12 is set as kubelet host
2020-11-17 00:34:46 UTC | PROCESS | INFO | (pkg/util/log/log.go:482 in func1) | Collector kubelet successfully detected
2020-11-17 00:34:46 UTC | PROCESS | INFO | (pkg/util/log/log.go:482 in func1) | Using collector kubelet
2020-11-17 00:34:46 UTC | PROCESS | INFO | (pkg/util/log/log.go:482 in func1) | overriding API key from env DD_API_KEY value
2020-11-17 00:34:46 UTC | PROCESS | WARN | (pkg/util/log/log.go:491 in func1) | failed to get configuration value for key "process_config.container_source": unable to cast <nil> of type <nil> to []string
2020-11-17 00:34:46 UTC | PROCESS | INFO | (pkg/process/config/config.go:279 in mergeConfigIfExists) | no config exists at /etc/datadog-agent/system-probe.yaml, ignoring...
2020-11-17 00:34:46 UTC | PROCESS | INFO | (pkg/process/config/config.go:436 in loadEnvVariables) | overriding API key from env DD_API_KEY value
2020-11-17 00:34:50 UTC | PROCESS | INFO | (main_common.go:106 in runAgent) | running on platform: linux-4.14.193-149.317.amzn2.x86_64-x86_64-with-glibc2.2.5
