        CONTAINER ID                                                                                                                                                                     IMAGE                            COMMAND                  STATUS               PORTS                                                                                                                                          NAMES
        2cfcdbfaefa0                                                                                                   sha256:1e1000a3f6d8223a792aae7f5aa8d3b513be1115c50261683476d1a8f387428b            "/go/bin/agent-linux …"              Up 3 hours                  []                                                  [/k8s_jaeger-agent_data-service-7f8b7c6bd4-zrts5_prod_f91285bd-3a17-4e27-a376-83bd64f288a8_0]
        116ee3176b17                                                                                                   sha256:c80574897629496195f96aec9f9400685fe254296d913e67fbcb33d9ffcfd9f3                           "java …"              Up 3 hours                  []                                                  [/k8s_data-service_data-service-7f8b7c6bd4-zrts5_prod_f91285bd-3a17-4e27-a376-83bd64f288a8_0]
        9db977e129f3                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"              Up 3 hours                  []                                                           [/k8s_POD_data-service-7f8b7c6bd4-zrts5_prod_f91285bd-3a17-4e27-a376-83bd64f288a8_0]
        1b287b64acd5                                                                                                   sha256:d96e9a958a712b5744d882a1cf05e64749ab9f293889b166b73271fb99c0ef92                   "/entrypoint.sh"              Up 4 hours                  []                                          [/k8s_standalone_orion-gw-standalone-6c8674bd8c-jdznr_staging_f6c5a0ad-0a05-4814-8c1a-9dd2600b95f3_0]
        ed6613b2dd61                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"              Up 4 hours                  []                                                 [/k8s_POD_orion-gw-standalone-6c8674bd8c-jdznr_staging_f6c5a0ad-0a05-4814-8c1a-9dd2600b95f3_0]
        3ddd462149f7                                                                                                   sha256:d96e9a958a712b5744d882a1cf05e64749ab9f293889b166b73271fb99c0ef92                   "/entrypoint.sh"              Up 5 hours                  []                                    [/k8s_gateway-service_gateway-service-f8574d4cc-s9th6_test-gs-morza_e2e3bcb3-0a4d-4d7b-8296-e1e2ed44b26c_0]
        d03843af3017                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"              Up 5 hours                  []                                                [/k8s_POD_gateway-service-f8574d4cc-s9th6_test-gs-morza_e2e3bcb3-0a4d-4d7b-8296-e1e2ed44b26c_0]
        d6eec25636ce                                                                                                   sha256:1e1000a3f6d8223a792aae7f5aa8d3b513be1115c50261683476d1a8f387428b            "/go/bin/agent-linux …"              Up 7 hours                  []                                       [/k8s_jaeger-agent_dx-case-service-6856b75d54-6vhz8_keystone-dev_1a1063f3-ac18-4eee-9c22-e94bc60a00ff_0]
        94b2fd672a06                                                                                                   sha256:637ee8de2e57900e7a7b8fdfe2d62fd886d716a16ef3cf606c71589820d59863                           "java …"              Up 7 hours                  []                                    [/k8s_dx-case-service_dx-case-service-6856b75d54-6vhz8_keystone-dev_1a1063f3-ac18-4eee-9c22-e94bc60a00ff_0]
        43104d9cda6c                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"              Up 7 hours                  []                                                [/k8s_POD_dx-case-service-6856b75d54-6vhz8_keystone-dev_1a1063f3-ac18-4eee-9c22-e94bc60a00ff_0]
