2020-08-28 22:30:09 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668190000000000
2020-08-28 22:30:19 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668200000000000
2020-08-28 22:30:29 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668210000000000
2020-08-28 22:30:39 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668220000000000
2020-08-28 22:30:39 EDT | TRACE | DEBUG | (pkg/trace/api/listener.go:73 in Refresh) | Refreshed the connection lease: 2000 conns available
2020-08-28 22:30:39 EDT | TRACE | INFO | (pkg/trace/info/stats.go:101 in LogStats) | No data received
2020-08-28 22:30:49 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668230000000000
2020-08-28 22:30:59 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668240000000000
2020-08-28 22:31:09 EDT | TRACE | DEBUG | (pkg/trace/api/listener.go:73 in Refresh) | Refreshed the connection lease: 2000 conns available
2020-08-28 22:31:09 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668250000000000
2020-08-28 22:31:19 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668260000000000
2020-08-28 22:31:29 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668270000000000
2020-08-28 22:31:39 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668280000000000
2020-08-28 22:31:39 EDT | TRACE | DEBUG | (pkg/trace/api/listener.go:73 in Refresh) | Refreshed the connection lease: 2000 conns available
2020-08-28 22:31:49 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668290000000000
2020-08-28 22:31:49 EDT | TRACE | INFO | (pkg/trace/info/stats.go:101 in LogStats) | No data received
2020-08-28 22:31:59 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668300000000000
2020-08-28 22:32:09 EDT | TRACE | DEBUG | (pkg/trace/api/listener.go:73 in Refresh) | Refreshed the connection lease: 2000 conns available
2020-08-28 22:32:09 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668310000000000
2020-08-28 22:32:19 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668320000000000
2020-08-28 22:32:29 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668330000000000
2020-08-28 22:32:39 EDT | TRACE | DEBUG | (pkg/trace/api/listener.go:73 in Refresh) | Refreshed the connection lease: 2000 conns available
2020-08-28 22:32:39 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668340000000000
2020-08-28 22:32:49 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668350000000000
2020-08-28 22:32:49 EDT | TRACE | INFO | (pkg/trace/info/stats.go:101 in LogStats) | No data received
2020-08-28 22:32:59 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668360000000000
2020-08-28 22:33:09 EDT | TRACE | DEBUG | (pkg/trace/api/listener.go:73 in Refresh) | Refreshed the connection lease: 2000 conns available
2020-08-28 22:33:09 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668370000000000
2020-08-28 22:33:19 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668380000000000
2020-08-28 22:33:29 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668390000000000
2020-08-28 22:33:39 EDT | TRACE | DEBUG | (pkg/trace/api/listener.go:73 in Refresh) | Refreshed the connection lease: 2000 conns available
2020-08-28 22:33:39 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668400000000000
2020-08-28 22:33:49 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668410000000000
2020-08-28 22:33:59 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668420000000000
2020-08-28 22:33:59 EDT | TRACE | INFO | (pkg/trace/info/stats.go:101 in LogStats) | No data received
2020-08-28 22:34:09 EDT | TRACE | DEBUG | (pkg/trace/api/listener.go:73 in Refresh) | Refreshed the connection lease: 2000 conns available
2020-08-28 22:34:09 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668430000000000
2020-08-28 22:34:19 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668440000000000
2020-08-28 22:34:29 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668450000000000
2020-08-28 22:34:39 EDT | TRACE | DEBUG | (pkg/trace/api/listener.go:73 in Refresh) | Refreshed the connection lease: 2000 conns available
2020-08-28 22:34:39 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668460000000000
2020-08-28 22:34:49 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668470000000000
2020-08-28 22:34:59 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668480000000000
2020-08-28 22:35:09 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668490000000000
2020-08-28 22:35:09 EDT | TRACE | DEBUG | (pkg/trace/api/listener.go:73 in Refresh) | Refreshed the connection lease: 2000 conns available
2020-08-28 22:35:09 EDT | TRACE | INFO | (pkg/trace/info/stats.go:101 in LogStats) | No data received
2020-08-28 22:35:19 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668500000000000
2020-08-28 22:35:29 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668510000000000
2020-08-28 22:35:39 EDT | TRACE | DEBUG | (pkg/trace/api/listener.go:73 in Refresh) | Refreshed the connection lease: 2000 conns available
2020-08-28 22:35:39 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668520000000000
2020-08-28 22:35:49 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668530000000000
2020-08-28 22:35:59 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668540000000000
2020-08-28 22:36:09 EDT | TRACE | DEBUG | (pkg/trace/api/listener.go:73 in Refresh) | Refreshed the connection lease: 2000 conns available
2020-08-28 22:36:09 EDT | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:184 in flushNow) | update oldestTs to 1598668550000000000
